id,stock_cat_name,stock_item_name,stock_item_tag,order_date,account_name,account_trade,stock_item_vacant,stock_item_size,order_license,order_due_date,order_expiry_date,order_review_date,order_desc,order_sc_desc,order_break_date,order_price,order_price_psf,order_sc_pa,order_sc_psf,
,Bathgate,1,Office,,Silva Ltd,,Occupied,177.00,,2016-12-01,2017-10-31,,Licence fee,,,3660.00,20.68,,
,Bathgate,2,Office,,MRM Electrical Solutions Ltd,,Occupied,159.00,,2016-04-01,2017-03-31,,Licence fee,,,3228.00,20.30,,
,Bathgate,3,Office,,Coffee Direct Scotland Ltd,,Occupied,296.00,,2016-04-01,2017-03-31,,Licence fee,,,4788.00,16.18,,
,Bathgate,4,Office,,The Touchless Disinfection Company Ltd,,Occupied,217.00,,2016-08-01,2017-07-31,,Licence fee,,,2988.00,13.77,,
,Bathgate,5,Office,,James Leckie Design Ltd,,Occupied,283.00,,2016-04-01,2017-03-31,,Licence fee,,,6108.00,21.58,,
,Bathgate,6,Office,,Karen Douglas,,Occupied,277.00,,2016-08-01,2017-04-30,,Licence fee,,,3156.00,11.39,,
,Bathgate,7,Office,,GK Financial Solutions,,Occupied,276.00,,2015-12-01,2017-11-30,,Licence fee,,,4428.00,16.04,,
,Bathgate,8,Office,,Silva Ltd,,Occupied,278.00,,2016-08-01,2017-07-31,,Licence fee,,,5028.00,18.09,,
,Bathgate,9,Office,,RBTA Ltd,,Occupied,264.00,,2016-06-01,2018-05-31,,Licence fee,,,3504.00,13.27,,
,Bathgate,10,Workshop,,JW Production Ltd,,Occupied,691.00,,2016-08-01,2017-02-28,,Licence fee,,,6060.00,8.77,,
,Bathgate,11,Office,,Mullans Law Accountants Limited,,Occupied,679.00,,2016-01-01,2016-12-31,,Licence fee,,,23988.00,35.33,,
,Bathgate,12,Office,,Barrett Steel Ltd,,Occupied,688.00,,2016-10-01,2017-09-30,,Licence fee,,,13332.00,19.38,,
,Bathgate,13,Office,,,,Vacant,623.00,,,,,,,,,,,
,Bathgate,14,Office,,Telent Technology Services Ltd,,Occupied,607.00,,2016-04-01,2017-03-31,,Licence fee,,,8700.00,14.33,,
,Bathgate,15,Office,,CJS Instrumentation Ltd,,Occupied,606.00,,2016-10-01,2017-09-30,,Licence fee,,,6000.00,9.90,,
,Bathgate,17,Office,,,,Vacant,223.00,,,,,,,,,,,
,Bathgate,18,Office,,Inspired By Technology,,Occupied,311.00,,2016-09-01,2017-02-28,,Licence fee,,,5388.00,17.32,,
,Bathgate,19,Office,,Stuart Malcolm,,Occupied,168.00,,2016-07-18,2017-10-31,,Licence fee,,,2388.00,14.21,,
,Bathgate,20,Office,,Expert Pensions Ltd,,Occupied,172.00,,2016-12-01,2018-11-30,,Licence fee,,,2760.00,16.05,,
,Bathgate,21,Office,,Expert Pensions Ltd,,Occupied,172.00,,2016-10-01,2018-11-30,,Licence fee,,,2388.00,13.88,,
,Bathgate,22,Office,,Rotech M&P Limited,,Occupied,186.00,,2015-04-01,2017-03-31,,Licence fee,,,3060.00,16.45,,
,Bathgate,23,Office,,RML Offshore Electrical Ltd (SC499529),,Occupied,203.00,,2016-06-15,2017-06-30,,Licence fee,,,3588.00,17.67,,
,Bathgate,24,Office,,James Forbes Consultancy Ltd,,Occupied,236.00,,2015-12-01,2016-11-30,,Licence fee,,,3228.00,13.68,,
,Bathgate,25,Office,,Inga Djafarova,,Occupied,606.00,,2016-03-01,2017-02-28,,Licence fee,,,6600.00,10.89,,
,Bathgate,26,Office,,Integrated Utility Services,,Occupied,607.00,,2016-08-01,2017-07-31,,Licence fee,,,8508.00,14.02,,
,Bathgate,27,Office,,Integrated Utility Services,,Occupied,618.00,,2016-08-01,2017-07-31,,Licence fee,,,8508.00,13.77,,
,Bathgate,28,Workshop,,PerceptiveUAS Ltd,,Occupied,2573.00,,2016-08-01,2017-07-31,,Licence fee,,,15468.00,6.01,,
,Bathgate,29,Workshop,,Vending Services Ltd,,Occupied,1268.00,,2016-02-01,2017-01-31,,Licence fee,,,8880.00,7.00,,
,Bathgate,30,Workshop,,Northern Power Systems,,Occupied,945.00,,2016-06-01,2017-05-31,,Licence fee,,,9600.00,10.16,,
,Bathgate,31,Workshop,,Inspired By Technology,,Occupied,905.00,,2016-09-01,2017-08-31,,Licence fee,,,9828.00,10.86,,
,Bathgate,32,Workshop,,Tru Reflections Ltd,,Occupied,951.00,,2016-09-01,2017-08-31,,Licence fee,,,8556.00,9.00,,
,Bathgate,33,Workshop,,,,Vacant,945.00,,,,,,,,,,,
,Bathgate,34,Workshop,,CF Support,,Occupied,1268.00,,2016-05-01,2017-11-30,,Licence fee,,,13788.00,10.87,,
,Bathgate,35,Workshop,,Altodigital Networks,,Occupied,407.00,,2016-09-01,2017-02-28,,Licence fee,,,4872.00,11.97,,
,Bathgate,36,Workshop,,William McCubbin,,Occupied,406.00,,2016-06-01,2017-05-31,,Licence fee,,,4788.00,11.79,,
,Bathgate,37,Workshop,,AJ Training,,Occupied,785.00,,2016-09-01,2017-08-31,,Licence fee,,,5988.00,7.63,,
